,0
כרכום,KARKOM
כרם בן זמרה,KEREM BEN ZIMRA
כרם בן שמן,KEREM BEN SHEMEN
כרם יבנה (ישיבה),KEREM YAVNE(YESHIVA)
"כרם מהר""ל",KEREM MAHARAL
כרם שלום,KEREM SHALOM
כרמי יוסף,KARME YOSEF
כרמי צור,KARME ZUR
כרמי קטיף,
כרמיאל,KARMI'EL
כרמיה,KARMIYYA
כרמים,KERAMIM
כרמל,KARMEL
לא רשום,
לבון,LAVON
לביא,LAVI
לבנים,LIVNIM
להב,LAHAV
להבות הבשן,LAHAVOT HABASHAN
להבות חביבה,LAHAVOT HAVIVA
להבים,LEHAVIM
לוד,LOD
לוזית,LUZIT
לוחמי הגיטאות,LOHAME HAGETA'OT
לוטם,LOTEM
לוטן,LOTAN
לימן,LIMAN
לכיש,LAKHISH
לפיד,LAPPID
לפידות,LAPPIDOT
לקיה,LAQYE
מאור,MA'OR
מאיר שפיה,ME'IR SHEFEYA
מבוא ביתר,MEVO BETAR
מבוא דותן,MEVO DOTAN
מבוא חורון,MEVO HORON
מבוא חמה,MEVO HAMMA
מבוא מודיעים,MEVO MODI'IM
מבואות ים,MEVO'OT YAM
מבואות יריחו,
מבועים,MABBU'IM
מבטחים,MIVTAHIM
מבקיעים,MAVQI'IM
מבשרת ציון,MEVASSERET ZIYYON
מג'ד אל-כרום,MAJD AL-KURUM
מג'דל שמס,MAJDAL SHAMS
מגאר,MUGHAR
מגדים,MEGADIM
מגדל,MIGDAL
מגדל העמק,MIGDAL HAEMEQ
מגדל עוז,MIGDAL OZ
מגדלים,MIGDALIM
מגידו,MEGIDDO
מגל,MAGGAL
מגן,MAGEN
מגן שאול,MAGEN SHA'UL
מגשימים,MAGSHIMIM
מדרך עוז,MIDRAKH OZ
מדרשת בן גוריון,MIDRESHET BEN GURION
מדרשת רופין,MIDRESHET RUPPIN
מודיעין עילית,MODI'IN ILLIT
מודיעין-מכבים-רעות,MODI'IN-MAKKABBIM-RE
מולדת,MOLEDET
מוצא עילית,MOZA ILLIT
מוקייבלה,MUQEIBLE
מורן,MORAN
מורשת,MORESHET
מזור,MAZOR
מזכרת בתיה,MAZKERET BATYA
מזרע,MIZRA
מזרעה,MAZRA'A
מחולה,MEHOLA
מחנה הילה,
מחנה טלי,
מחנה יהודית,
מחנה יוכבד,
מחנה יפה,
מחנה יתיר,MAHANE YATTIR
מחנה מרים,
מחנה תל נוף,
מחניים,MAHANAYIM
מחסיה,MAHSEYA
מטולה,METULA
מטע,MATTA
מי עמי,ME AMMI
מיטב,METAV
מייסר,MEISER
מיצר,MEZAR
מירב,MERAV
מירון,MERON
מישר,MESHAR
מיתר,METAR
מכורה,MEKHORA
מכחול,MAKCHUL
מכמורת,MIKHMORET
מכמנים,MIKHMANNIM
מלאה,MELE'A
מלילות,MELILOT
מלכיה,MALKIYYA
מלכישוע,MALKISHUA
מנוחה,MENUHA
מנוף,MANOF
מנות,MANOT
מנחמיה,MENAHEMYA
מנרה,MENNARA
מנשית זבדה,MANSHIYYET ZABDA
מסד,MASSAD
מסדה,MASSADA
מסילות,MESILLOT
מסילת ציון,MESILLAT ZIYYON
מסלול,MASLUL
מסעדה,MAS'ADE
מסעודין אל-עזאזמה,MAS'UDIN AL-'AZAZME
מעברות,MA'BAROT
מעגלים,MA'GALIM
מעגן,MA'AGAN
מעגן מיכאל,MA'AGAN MIKHA'EL
מעוז חיים,MA'OZ HAYYIM
מעון,MA'ON
מעונה,ME'ONA
מעיליא,MI'ELYA
מעין ברוך,MA'YAN BARUKH
מעין צבי,MA'YAN ZEVI
מעלה אדומים,MA'ALE ADUMMIM
מעלה אפרים,MA'ALE EFRAYIM
מעלה גלבוע,MA'ALE GILBOA
מעלה גמלא,MA'ALE GAMLA
מעלה החמישה,MA'ALE HAHAMISHA
מעלה לבונה,MA'ALE LEVONA
מעלה מכמש,MA'ALE MIKHMAS
מעלה עירון,MA'ALE IRON
מעלה עמוס,MA'ALE AMOS
מעלה שומרון,MA'ALE SHOMERON
מעלות-תרשיחא,MA'ALOT-TARSHIHA
מענית,MA'ANIT
מעש,MA'AS
מפלסים,MEFALLESIM
מצדות יהודה,MEZADOT YEHUDA
מצובה,MAZZUVA
מצליח,MAZLIAH
מצפה,MIZPA
"מצפה אבי""ב",MIZPE AVIV
מצפה אילן,
מצפה יריחו,MIZPE YERIHO
מצפה נטופה,MIZPE NETOFA
מצפה רמון,MIZPE RAMON
מצפה שלם,MIZPE SHALEM
מצר,MEZER
מקווה ישראל,MIQWE YISRA'EL
מרגליות,MARGALIYYOT
מרום גולן,MEROM GOLAN
מרחב עם,
מרחביה (מושב),MERHAVYA(MOSHAV)
מרחביה (קיבוץ),MERHAVYA(QIBBUZ)
מרכז שפירא,MERKAZ SHAPPIRA
משאבי שדה,MASH'ABBE SADE
משגב דב,MISGAV DOV
משגב עם,MISGAV AM
משהד,MESHHED
משואה,MASSU'A
משואות יצחק,MASSUOT YIZHAQ
משכיות,MASKIYYOT
משמר איילון,MISHMAR AYYALON
משמר דוד,MISHMAR DAWID
משמר הירדן,MISHMAR HAYARDEN
משמר הנגב,MISHMAR HANEGEV
משמר העמק,MISHMAR HAEMEQ
משמר השבעה,MISHMAR HASHIV'A
משמר השרון,MISHMAR HASHARON
משמרות,MISHMAROT
משמרת,MISHMERET
משען,MASH'EN
מתן,MATTAN
מתת,MATTAT
מתתיהו,MATTITYAHU
נאות גולן,NE'OT GOLAN
נאות הכיכר,NE'OT HAKIKKAR
נאות מרדכי,NE'OT MORDEKHAY
נאות סמדר,SHIZZAFON
נאעורה,NA'URA
נבטים,NEVATIM
נגבה,NEGBA
נגוהות,
נהורה,NEHORA
נהלל,NAHALAL
נהריה,NAHARIYYA
נוב,NOV
נוגה,NOGAH
נוה צוף,HALLAMISH
נווה,NAVE
נווה אבות,NEWE AVOT
נווה אור,NEWE UR
"נווה אטי""ב",NEWE ATIV
נווה אילן,NEWE ILAN
נווה איתן,NEWE ETAN
נווה דניאל,NEWE DANIYYEL
נווה זוהר,NEWE ZOHAR
נווה זיו,
נווה חריף,NEWE HARIF
נווה ים,NEWE YAM
נווה ימין,NEWE YAMIN
נווה ירק,NEWE YARAQ
נווה מבטח,NEWE MIVTAH
נווה מיכאל,NEWE MIKHA'EL
נווה שלום,NEWE SHALOM
נועם,NO'AM
נוף איילון,
נוף הגליל,NAZERAT ILLIT
נופים,NOFIM
נופית,NOFIT
נופך,NOFEKH
נוקדים,NOQEDIM
נורדיה,NORDIYYA
נורית,NURIT
נחושה,NEHUSHA
נחל עוז,NAHAL OZ
נחלה,NAHALA
נחליאל,NAHALI'EL
נחלים,NEHALIM
נחם,NAHAM
נחף,NAHEF
נחשולים,NAHSHOLIM
נחשון,NAHSHON
נחשונים,NAHSHONIM
נטועה,NETU'A
נטור,NATUR
נטע,NETA
נטעים,NETA'IM
נטף,NATAF
ניין,NEIN
"ניל""י",NILI
ניצן,NIZZAN
ניצן ב',NIZZAN B
ניצנה (קהילת חינוך),NIZZANA (QEHILAT HIN
ניצני סיני,NIZZANE SINAY
ניצני עוז,NIZZANE OZ
ניצנים,NIZZANIM
ניר אליהו,NIR ELIYYAHU
ניר בנים,NIR BANIM
ניר גלים,NIR GALLIM
ניר דוד (תל עמל),NIR DAWID (TEL AMAL)
"ניר ח""ן",NIR HEN
ניר יפה,NIR YAFE
ניר יצחק,NIR YIZHAQ
ניר ישראל,NIR YISRA'EL
ניר משה,NIR MOSHE
ניר עוז,NIR OZ
ניר עם,NIR AM
ניר עציון,NIR EZYON
ניר עקיבא,NIR AQIVA
ניר צבי,NIR ZEVI
נירים,NIRIM
נירית,NIRIT
נמרוד,
נס הרים,NES HARIM
נס עמים,NES AMMIM
נס ציונה,NES ZIYYONA
נעורים,NE'URIM
נעלה,NA'ALE
"נעמ""ה",NAAMA
נען,NA'AN
נערן,NIRAN
נצאצרה (שבט),NASASRA
נצר חזני,
נצר סרני,NEZER SERENI
נצרת,NAZARETH
נשר,NESHER
נתיב הגדוד,NETIV HAGEDUD
"נתיב הל""ה",NETIV HALAMED-HE
נתיב העשרה,NETIV HAASARA
נתיב השיירה,NETIV HASHAYYARA
נתיבות,NETIVOT
נתניה,NETANYA
סאג'ור,SAJUR
סאסא,SASA
סביון,SAVYON
סגולה,SEGULA
סואעד (חמרייה),SAWA'ID(HAMRIYYE)
סואעד (כמאנה) (שבט),SAWA'ID (KAMANE)
סולם,SULAM
סוסיה,SUSEYA
סופה,SUFA
סח'נין,SAKHNIN
סייד (שבט),SAYYID
סלמה,SALLAMA
סלעית,SAL'IT
סמר,SAMAR
סנסנה,
סעד,SA'AD
סעוה,
סער,SA'AR
ספיר,SAPPIR
סתריה,SITRIYYA
ע'ג'ר,GHAJAR
עבדון,AVDON
עברון,EVRON
עגור,AGUR
עדי,ADI
עדנים,ADANIM
עוזה,UZA
עוזייר,UZEIR
עולש,OLESH
עומר,OMER
עופר,OFER
עופרה,OFRA
עוצם,OZEM
עוקבי (בנו עוקבה),UQBI (BANU UQBA)
עזוז,EZUZ
עזר,EZER
עזריאל,AZRI'EL
עזריה,AZARYA
עזריקם,AZRIQAM
עטאוונה (שבט),ATAWNE
עטרת,ATERET
עידן,IDDAN
עיילבון,EILABUN
עיינות,AYANOT
עילוט,ILUT
עין איילה,EN AYYALA
עין אל-אסד,EIN AL-ASAD
עין גב,EN GEV
עין גדי,EN GEDI
עין דור,EN DOR
עין הבשור,EN HABESOR
עין הוד,EN HOD
עין החורש,EN HAHORESH
עין המפרץ,EN HAMIFRAZ
"עין הנצי""ב",EN HANAZIV
עין העמק,EN HAEMEQ
עין השופט,EN HASHOFET
עין השלושה,EN HASHELOSHA
עין ורד,EN WERED
עין זיוון,EN ZIWAN
עין חוד,
עין חצבה,EN HAZEVA
עין חרוד (איחוד),EN HAROD (IHUD)
עין חרוד (מאוחד),EN HAROD(ME'UHAD)
עין יהב,EN YAHAV
עין יעקב,EN YA'AQOV
"עין כרם-בי""ס חקלאי",EN KAREM-B.S.HAQLA'I
עין כרמל,EN KARMEL
עין מאהל,EIN MAHEL
עין נקובא,EIN NAQQUBA
עין עירון,EN IRON
עין צורים,EN ZURIM
עין קנייא,EIN QINIYYE
עין ראפה,EIN RAFA
עין שמר,EN SHEMER
עין שריד,EN SARID
עין תמר,EN TAMAR
עינת,ENAT
עיר אובות,IR OVOT
עכו,AKKO
עלומים,ALUMIM
עלי,ELI
עלי זהב,ALE ZAHAV
עלמה,ALMA
עלמון,ALMON
עמוקה,AMUQQA
עמיחי,
עמינדב,AMMINADAV
עמיעד,AMMI'AD
עמיעוז,AMMI'OZ
עמיקם,AMMIQAM
עמיר,AMIR
עמנואל,IMMANU'EL
עמקה,AMQA
ענב,ENAV
עספיא,ISIFYA
עפולה,AFULA
עץ אפרים,EZ EFRAYIM
עצמון שגב,ATSMON-SEGEV
עראבה,ARRABE
עראמשה,ARAMSHA
ערב אל נעים,ARRAB AL NAIM
ערד,ARAD
ערוגות,ARUGOT
ערערה,AR'ARA
ערערה-בנגב,AR'ARA-BANEGEV
עשרת,ASERET
עתלית,ATLIT
עתניאל,OTNI'EL
פארן,PARAN
פדואל,PEDU'EL
פדויים,PEDUYIM
פדיה,PEDAYA
פוריה - כפר עבודה,PORIYYA-KEFAR AVODA
פוריה - נווה עובד,PORIYYA-NEWE OVED
פוריה עילית,PORIYYA ILLIT
פוריידיס,FUREIDIS
פורת,PORAT
פטיש,PATTISH
פלך,PELEKH
פלמחים,PALMAHIM
פני חבר,PENE HEVER
פסגות,PESAGOT
פסוטה,FASSUTA
"פעמי תש""ז",PA'AME TASHAZ
פצאל,PEZA'EL
פקיעין (בוקייעה),PEQI'IN (BUQEI'A)
פקיעין חדשה,PEQI'IN HADASHA
פרדס חנה-כרכור,PARDES HANNA-KARKUR
פרדסיה,PARDESIYYA
פרוד,PAROD
פרזון,PERAZON
פרי גן,PERI GAN
פתח תקווה,PETAH TIQWA
פתחיה,PETAHYA
צאלים,ZE'ELIM
צביה,ZVIYYA
צבעון,ZIV'ON
צובה,ZOVA
צוחר,ZOHAR
צופיה,ZOFIYYA
צופים,ZUFIN
צופית,ZOFIT
צופר,ZOFAR
צוקי ים,SHOSHANNAT HAAMAQIM(
צוקים,MAHANE BILDAD
צור הדסה,ZUR HADASSA
צור יצחק,ZUR YIZHAQ
צור משה,ZUR MOSHE
צור נתן,ZUR NATAN
צוריאל,ZURI'EL
צורית,ZURIT
ציפורי,ZIPPORI
צלפון,ZELAFON
צנדלה,SANDALA
צפריה,ZAFRIYYA
צפרירים,ZAFRIRIM
צפת,ZEFAT
צרופה,ZERUFA
צרעה,ZOR'A
קבועה (שבט),QABBO'A
קבוצת יבנה,QEVUZAT YAVNE
קדומים,QEDUMIM
קדימה-צורן,QADIMA-ZORAN
קדמה,QEDMA
קדמת צבי,QIDMAT ZEVI
קדר,QEDAR
קדרון,QIDRON
קדרים,QADDARIM
קודייראת א-צאנע(שבט),QUDEIRAT AS-SANI
קוואעין (שבט),QAWA'IN
קוממיות,QOMEMIYYUT
קורנית,QORANIT
קטורה,QETURA
קיסריה,QESARIYYA
קלחים,QELAHIM
קליה,QALYA
קלנסווה,QALANSAWE
קלע,QELA
קציר,
קצר א-סר,
קצרין,QAZRIN
קרית אונו,QIRYAT ONO
קרית ארבע,QIRYAT ARBA
קרית אתא,QIRYAT ATTA
קרית ביאליק,QIRYAT BIALIK
קרית גת,QIRYAT GAT
קרית טבעון,QIRYAT TIV'ON
קרית ים,QIRYAT YAM
קרית יערים,QIRYAT YE'ARIM
קרית יערים(מוסד),QIRYAT YE'ARIM(INSTI
קרית מוצקין,QIRYAT MOTZKIN
קרית מלאכי,QIRYAT MAL'AKHI
קרית נטפים,QIRYAT NETAFIM
קרית ענבים,QIRYAT ANAVIM
קרית עקרון,QIRYAT EQRON
קרית שלמה,QIRYAT SHELOMO
קרית שמונה,QIRYAT SHEMONA
קרני שומרון,QARNE SHOMERON
קשת,QESHET
ראמה,RAME
ראס אל-עין,
ראס עלי,RAS ALI
ראש העין,ROSH HAAYIN
ראש פינה,ROSH PINNA
ראש צורים,ROSH ZURIM
ראשון לציון,RISHON LEZIYYON
רבבה,REVAVA
רבדים,REVADIM
רביבים,REVIVIM
רביד,RAVID
רגבה,REGBA
רגבים,REGAVIM
רהט,RAHAT
רווחה,REWAHA
רוויה,REWAYA
רוח מדבר,
רוחמה,RUHAMA
רומאנה,RUMMANE
רומת הייב,RUMAT HEIB
רועי,RO'I
רותם,ROTEM
רחוב,REHOV
רחובות,REHOVOT
רחלים,
ריחאניה,REIHANIYYE
ריחן,REHAN
ריינה,REINE
רימונים,RIMMONIM
רינתיה,RINNATYA
רכסים,REKHASIM
רם-און,RAM-ON
רמות,RAMOT
רמות השבים,RAMOT HASHAVIM
רמות מאיר,RAMOT ME'IR
רמות מנשה,RAMOT MENASHE
רמות נפתלי,RAMOT NAFTALI
רמלה,RAMLA
רמת גן,RAMAT GAN
רמת דוד,RAMAT DAWID
רמת הכובש,RAMAT HAKOVESH
רמת השופט,RAMAT HASHOFET
רמת השרון,RAMAT HASHARON
רמת יוחנן,RAMAT YOHANAN
רמת ישי,RAMAT YISHAY
רמת מגשימים,RAMAT MAGSHIMIM
רמת צבי,RAMAT ZEVI
רמת רזיאל,RAMAT RAZI'EL
רמת רחל,RAMAT RAHEL
רנן,RANNEN
רעים,RE'IM
רעננה,RA'ANANA
רקפת,RAQEFET
רשפון,RISHPON
רשפים,RESHAFIM
רתמים,RETAMIM
שאר ישוב,SHE'AR YASHUV
שבי דרום,
שבי ציון,SHAVE ZIYYON
שבי שומרון,SHAVE SHOMERON
שבלי - אום אל-גנם,SHIBLI
שגב-שלום,SEGEV-SHALOM
שדה אילן,SEDE ILAN
שדה אליהו,SEDE ELIYYAHU
שדה אליעזר,SEDE ELI'EZER
שדה בוקר,SEDE BOQER
שדה דוד,SEDE DAWID
שדה ורבורג,SEDE WARBURG
שדה יואב,SEDE YO'AV
שדה יעקב,SEDE YA'AQOV
שדה יצחק,SEDE YIZHAQ
שדה משה,SEDE MOSHE
שדה נחום,SEDE NAHUM
שדה נחמיה,SEDE NEHEMYA
שדה ניצן,SEDE NIZZAN
שדה עוזיהו,SEDE UZZIYYAHU
שדה צבי,SEDE ZEVI
שדות ים,SEDOT YAM
שדות מיכה,SEDOT MIKHA
שדי אברהם,SEDE AVRAHAM
שדי חמד,SEDE HEMED
שדי תרומות,SEDE TERUMOT
שדמה,SHEDEMA
שדמות דבורה,SHADMOT DEVORA
שדמות מחולה,SHADMOT MEHOLA
שדרות,SEDEROT
שואבה,SHO'EVA
שובה,SHUVA
שובל,SHOVAL
שוהם,SHOHAM
שומרה,SHOMERA
שומריה,SHOMERIYYA
שוקדה,SHOQEDA
שורש,SHORESH
שורשים,SHORASHIM
שושנת העמקים,SHOSHANNAT HAAMAQIM
שזור,SHEZOR
שחר,SHAHAR
שחרות,SHAHARUT
שיבולים,SHIBBOLIM
שיטים,NAHAL SHITTIM
שייח' דנון,SHEIKH DANNUN
שילה,SHILO
שילת,SHILAT
שכניה,SHEKHANYA
שלווה,SHALWA
שלווה במדבר,SHALVA BAMIDBAR
שלוחות,SHELUHOT
שלומי,SHELOMI
שלומית,
שמיר,SHAMIR
שמעה,SHIM'A
שמרת,SHAMERAT
שמשית,
שני,SHANI
שניר,SENIR
שעב,SHA'AB
שעורים,SE'ORIM
שעל,SHA'AL
שעלבים,SHA'ALVIM
שער אפרים,SHA'AR EFRAYIM
שער הגולן,SHA'AR HAGOLAN
שער העמקים,SHA'AR HAAMAQIM
שער מנשה,SHA'AR MENASHE
שערי תקווה,SHA'ARE TIQWA
שפיים,SHEFAYIM
שפיר,SHAFIR
שפר,SHEFER
שפרעם,SHEFAR'AM
שקד,SHAQED
שקף,SHEQEF
שרונה,SHARONA
שריגים (לי-און),LI-ON
שריד,SARID
שרשרת,SHARSHERET
שתולה,SHETULA
שתולים,SHETULIM
תאשור,TE'ASHUR
תדהר,TIDHAR
תובל,TUVAL
תומר,TOMER
תושיה,TUSHIYYA
תימורים,TIMMORIM
תירוש,TIROSH
תל אביב - יפו,TEL AVIV - YAFO
תל יוסף,TEL YOSEF
תל יצחק,TEL YIZHAQ
תל מונד,TEL MOND
תל עדשים,TEL ADASHIM
תל קציר,TEL QAZIR
תל שבע,TEL SHEVA
תל תאומים,TEL TE'OMIM
תלם,TELEM
תלמי אליהו,TALME ELIYYAHU
תלמי אלעזר,TALME EL'AZAR
"תלמי ביל""ו",TALME BILU
תלמי יוסף,TALME YOSEF
תלמי יחיאל,TALME YEHI'EL
תלמי יפה,TALME YAFE
תלמים,TELAMIM
תמרת,TIMRAT
תנובות,TENUVOT
תעוז,TA'OZ
תפרח,TIFRAH
תקומה,TEQUMA
תקוע,TEQOA
תראבין א-צאנע (שבט),TARABIN AS-SANI
תראבין א-צאנע(ישוב),
תרום,TARUM
יהוד,YEHUD
עפרה,OFRA
