,סהכ
שחר,789
תירוש,444
"ניר ח""ן",610
חצבה,722
נועם,467
בית ניר,683
שדה משה,625
באר אורה,1105
מקווה ישראל,221
אמציה,288
לכיש,835
ראש פינה,3374
שדות מיכה,384
מזכרת בתיה,16215
יסוד המעלה,1763
אופקים,34806
עוצם,624
בת שלמה,676
גדות,503
שדה דוד,644
איתן,526
כרי דשא,4
גפן,389
אליכין,3715
מטולה,1783
זוהר,384
יבנאל,4456
כפר תבור,4815
מנחמיה,1226
אילניה,610
לוזית,820
עתלית,9615
נוגה,596
כנרת )קבוצה(,853
מצפה,157
נחושה,1554
דגניה א',678
כנרת )מושבה(,682
"יד רמב""ם",1244
מגדל,2066
מרחביה )קיבוץ(,1338
אור הנר,947
ניר עוז,488
אשדוד,254955
אשבול,672
גן שמואל,1222
עין הוד,687
כפר גלעדי,750
איילת השחר,1144
קרית ענבים,399
דגניה ב',811
נהלל,1100
עין חרוד )מאוחד(,930
תל יוסף,560
כפר יחזקאל,1142
גבע,710
כרם בן שמן,80
עין חרוד )איחוד(,746
חפצי-בה,859
גיניגר,809
בלפוריה,600
בית אלפא,1158
יגור,1877
מרחביה )מושב(,773
"כפר מל""ל",372
מצפה רמון,5571
מאיר שפיה,168
תל עדשים,1334
מזרע,965
כפר גדעון,324
כפר סילבר,154
כפר חסידים א',815
אדירים,328
חופית,1002
רמת ישי,8002
שריד,1152
רמת רחל,560
גת רימון,287
משמר העמק,1424
כפר ברוך,647
גבת,1016
יפעת,1256
רמת דוד,646
עין שמר,821
כפר יהושע,1242
ברק,399
שדה יעקב,1103
בית זרע,768
גן שלמה,621
גדיש,386
דבורה,312
גבעת ברנר,2782
תל מונד,14236
באר טוביה,1278
עיינות,187
עין ורד,1651
נען,1933
בית חנן,693
חולדה,1186
חירות,1375
תימורים,839
מלאה,403
ניר יפה,695
גן יבנה,24366
עין החורש,946
כפר יונה,25243
כפר יעבץ,741
פרדסיה,7250
גבעת חיים )מאוחד(,1199
נטעים,804
אביחיל,1409
אפיקים,1414
"כפר ביל""ו",1192
רמת יוחנן,1196
אבן יהודה,14780
ירקונה,393
רמת הכובש,1045
נעורים,254
כפר הס,1492
אשדות יעקב  )מאוחד(,724
כפר פינס,656
כפר ויתקין,1938
הדר עם,822
כפר החורש,731
כפר חיים,614
משמר השרון,798
קדימה-צורן,22972
גיבתון,394
מעברות,1069
צופית,1099
אשדות יעקב  )איחוד(,1024
בית ינאי,410
בית עובד,337
אלישיב,705
חגלה,802
רמות השבים,1616
"גבעת ח""ן",407
מוצא עילית,1196
בית צבי,123
משמרות,1131
"כפר הרא""ה",1251
גני עם,259
חיבת ציון,763
כפר ביאליק,679
עין עירון,567
שושנת העמקים,596
גן השומרון,883
גני תקווה,22207
מעש,961
שפיים,1465
כפר ידידיה,718
ביצרון,1239
חבצלת השרון,479
שער העמקים,759
גן חיים,723
יקנעם עילית,25825
יקנעם )מושבה(,1433
בית השיטה,1541
נתיבות,41274
רשפון,1327
בית שערים,744
כפר סירקין,1490
הזורע,1283
ביתן אהרן,274
חולתה,694
כפר המכבי,437
כפר חיטים,728
ניר דוד )תל עמל(,888
נופך,576
שדה נחום,892
גינוסר,726
מסדה,348
שער הגולן,627
בית יוסף,497
כפר שמריהו,2518
טירת צבי,912
מולדת,1223
עין השופט,1167
מעוז חיים,594
עין גב,660
כפר מנחם,1441
צור משה,2915
אושה,528
חניתה,995
פקיעין חדשה,490
שבי ציון,1353
שדה ורבורג,1439
אלונים,744
מעלה החמישה,908
תל יצחק,810
בית יהושע,1089
עין המפרץ,965
מעין צבי,961
שרונה,660
שדה יואב,662
אילון,1207
כפר רופין,581
נווה איתן,257
כפר מסריק,799
מסילות,552
דליה,931
בית עוזיאל,669
דפנה,835
דן,750
שדה אליהו,924
גשר,508
שדמות דבורה,762
הזורעים,1020
מחניים,870
נהורה,1371
כפר גליקסון,411
גן שורק,381
נווה ים,298
אפק,767
נגבה,1093
כפר נטר,1114
בית אורן,495
עמיעוז,299
עמיר,679
כפר ורבורג,1245
בית הלל,803
שאר ישוב,587
מצובה,1306
בית יצחק-שער חפר,2332
שדות ים,1096
עזוז,85
שדה נחמיה,1173
אלומות,488
ניר צבי,1312
קבוצת יבנה,852
רמת השופט,1150
דורות,812
איבים,607
רמת צבי,734
גת )קיבוץ(,935
גברעם,623
חמדיה,428
מענית,840
כפר סאלד,711
גליל ים,528
מנרה,266
ניר עם,582
ניצן,2471
גבולות,440
בית זיד,143
רביבים,946
חורשים,397
הגושרים,893
כפר בלום,1058
יד מרדכי,891
ניצנים,535
"גבעת ניל""י",655
רוחמה,735
חפץ חיים,647
כפר אוריה,897
בית קשת,764
שמיר,941
עין העמק,842
ביריה,942
גלעד )אבן יצחק(,575
גזר,494
כדורי,102
רמות נפתלי,587
בית הלוי,787
חוקוק,717
מגל,1305
עברון,947
המעפיל,970
משגב עם,334
גאולים,987
להבות הבשן,986
מכמורת,1468
"עין הנצי""ב",656
עמיעד,563
בני דרור,1250
כפר מונש,945
כפר קיש,698
בצרה,1155
רגבה,1129
קדמה,43
גלאון,712
שובל,908
משמר הנגב,1232
נבטים,1077
חצרים,1110
שרשרת,396
בארי,1202
אבן שמואל,1812
ניר יצחק,713
אורים,576
נווה אילן,1045
חצור-אשדוד,962
דברת,564
נאות מרדכי,741
יחיעם,863
קרית שלמה,12
צאלים,531
קלחים,634
שוקדה,616
מעין ברוך,651
יקום,786
בני ציון,1209
סעד,975
משאבי שדה,616
חרב לאת,792
העוגן,899
גבים,654
משמרת,983
עין כרמל,813
כפר גלים,162
ברור חיל,1039
אלוני אבא,1049
בית לחם הגלילית,871
דלתון,905
שמרת,630
נחשולים,781
החותרים,886
נצר סרני,999
עין דור,1368
רשפים,1078
שלוחות,506
יסודות,758
גדעונה,463
כפר הנשיא,917
רגבים,635
רמות מנשה,1381
אודים,1161
נורדיה,1963
בני עטרות,899
נחלים,1493
בארות יצחק,585
יזרעאל,792
יפתח,738
סער,948
שורש,1340
גזית,860
רמת רזיאל,693
טל שחר,1245
געתון,802
הראל,330
צובה,810
בית דגן,7029
קרית עקרון,11397
אבו גוש,8349
אבו סנאן,13770
דחי,739
אכסאל,15190
בית ג'ן,12379
מגאר,23465
בועיינה-נוג'ידאת,10348
בענה,8543
ג'ולס,6565
ג'ש )גוש חלב(,3338
דבוריה,10779
דייר אל-אסד,12870
דייר חנא,10823
דייר ראפאת,99
דאלית אל-כרמל,17823
חורפיש,6709
טייבה )בעמק(,1913
טורעאן,14791
יפיע,19636
ירכא,16167
כאבול,12473
כאוכב אבו אל-היג'א,3982
כפר יאסיף,11112
כפר כמא,3524
כפר כנא,23324
כפר מנדא,20703
עילוט,8547
כפר מצר,2812
עין ראפה,1282
מג'ד אל-כרום,15737
מזרעה,4058
מעיליא,3383
משהד,8914
עין נקובא,3737
נחף,13716
ניין,1980
נאעורה,2438
סאג'ור,4384
סולם,3056
שזור,361
עוזייר,3344
אעבלין,13543
עיילבון,5917
עראבה,26850
עין מאהל,13804
עספיא,12820
פסוטה,3499
פקיעין )בוקייעה(,6111
פוריידיס,13577
שעב,7456
רומאנה,1235
ריחאניה,1284
ג'סר א-זרקא,15290
ריינה,17010
ראמה,8770
עין אל-אסד,928
טמרה )יזרעאל(,1646
גנות הדר,1025
ניר בנים,800
שדמה,514
בוסתן הגליל,1094
בית אלעזרי,1620
משמר דוד,1160
רבדים,932
אזור,13566
גבעת שמש,12
צרעה,1199
מעונה,957
בית גמליאל,1148
בית העמק,706
מבקיעים,508
גשר הזיו,1739
יסעור,887
כברי,1206
יד בנימין,4447
סאסא,532
כפר ראש הנקרה,1449
"כרם מהר""ל",1003
כפר הנגיד,1072
זיקים,1051
לביא,741
מגידו,973
סביון,5291
בני ראם,1443
בצת,416
נווה אור,485
עשרת,1150
בני דרום,910
ערוגות,1017
צפריה,986
לוחמי הגיטאות,808
מלכיה,553
פלמחים,838
בית קמה,1148
פרוד,680
נירים,526
אלקוש,293
בית עריף,1037
כפר שמאי,610
מזור,1181
מירון,784
כפר חושן,903
סתריה,1147
צרופה,1024
ציפורי,984
שומרה,418
קדרון,1723
רינתיה,1078
ברקאי,714
חדיד,950
בית גוברין,454
משואות יצחק,712
עין צורים,778
יראון,490
ג'לג'וליה,10649
ג'ת,12516
כפר ברא,4002
כפר קאסם,24756
מוקייבלה,4269
צנדלה,1874
ערערה,20465
קלנסווה,23662
מצר,550
מייסר,2112
אבטין,2890
כפר קרע,19647
שייח' דנון,2954
שער אפרים,1911
חוסן,1168
טירת יהודה,1266
כרם בן זמרה,610
תקומה,835
עומר,8968
ברעם,699
מפלסים,924
משמר איילון,605
בית נקופה,719
כפר טרומן,823
לימן,761
הבונים,425
עין השלושה,418
הסוללים,1026
מעגן,432
אביאל,825
אומץ,774
גבעת שמואל,27582
אליקים,868
גבע כרמל,1115
היוגב,850
בניה,933
נווה ימין,1301
עין איילה,1142
עלמה,920
מגדים,1182
כפר אחים,835
שפיר,964
"נתיב הל""ה",664
מעגן מיכאל,2354
מגן,632
"כפר חב""ד",7779
בארותיים,1065
בורגתה,1173
ניר ישראל,908
חצב,1314
ארבל,716
האון,183
גבעת עוז,546
נחשונים,519
גיאה,847
כפר דניאל,720
עמקה,848
תפרח,2233
בית זית,1628
עזריה,1201
בן עמי,805
רעים,506
ארז,610
להבות חביבה,1006
אייל,579
חגור,1045
ירחיב,1142
תל קציר,472
ניר גלים,1203
שדה אילן,685
מגשימים,941
בית הגדי,874
הודיה,787
תלמי יחיאל,902
משמר השבעה,998
אליפלט,647
מישר,707
משמר הירדן,839
גן יאשיה,931
רמות מאיר,780
גילת,1567
עולש,1143
דור,410
שדה עוזיהו,1556
אשתאול,1185
שואבה,661
מסילת ציון,1032
כפר שמואל,931
תלמי יפה,704
גמזו,1171
ברכיה,1234
בית שקמה,857
מסלול,762
פטיש,988
פדויים,482
בית מאיר,561
תעוז,653
ינוב,869
גורן,440
בית עזרא,1144
מצליח,1379
יד חנה,982
יציץ,815
בן זכאי,920
שובה,778
בטחה,871
שתולים,2009
כפר מרדכי,685
משגב דב,762
קוממיות,491
פורת,1335
כרמיה,707
ניר עציון,686
מבוא ביתר,1018
אמונים,1015
עמיקם,772
צוריאל,421
יד נתן,630
מחסיה,490
נחשון,677
תרום,938
עמינדב,916
אורה,1186
אבן ספיר,706
בית נחמיה,879
אחיהוד,978
כפר זיתים,717
גבעת יערים,1307
זיתן,1146
רנן,697
משען,1035
נתיב השיירה,545
גבעתי,1005
עגור,481
יערה,800
צלפון,1015
אחיעזר,1927
יגל,916
זכריה,1094
בית חנניה,879
חמד,1034
"גבעת כ""ח",964
יושיביה,664
אחיסמך,1337
ישעי,845
עין יהב,824
חניאל,882
ניר אליהו,659
נחם,625
עופר,560
יכיני,715
שלומי,7411
עין יעקב,1154
תלמים,902
זבדיאל,642
זנוח,581
עזריקם,1423
זרחיה,790
אביגדור,908
חלץ,511
אחוזם,504
מטע,877
בר גיורא,627
כוכב מיכאל,1142
נס הרים,1416
עוזה,512
נווה מבטח,703
ישרש,1070
מבטחים,565
ירוחם,11494
נורית,214
גנות,483
עזריאל,970
פדיה,838
פתחיה,893
כיסופים,400
אלישמע,1176
געש,937
מרגליות,429
נחל עוז,500
כפר עזה,948
שפר,484
בית רבן,529
דבירה,1079
אחיטוב,1003
ניצני עוז,1076
גונן,493
גאליה,1141
רחוב,448
שעלבים,1552
כפר אביב,823
נווה ירק,1270
כסלון,431
שדה אליעזר,945
גני יוחנן,729
גינתון,958
בקוע,792
שיבולים,391
יטבתה,921
אלוני יצחק,179
גבעת השלושה,705
עינת,926
גאולי תימן,377
שלווה,587
מגדל העמק,29125
בית חירות,867
עין שריד,1574
אורנים,4
שדה בוקר,582
איתנים,4
"כפר הרי""ף",864
כפר חסידים ב',302
כפר הנוער הדתי,64
עבדון,757
מדרשת רופין,9
שבלי - אום אל-גנם,6659
ישע,415
עצמון שגב,1269
גבעת ישעיהו,773
שער מנשה,127
רכסים,13037
נווה אבות,22
אבו עמרה )שבט(,19
אבו סריחאן )שבט(,31
מסעודין אל-עזאזמה,17868
סואעד )חמרייה(,240
בסמת טבעון,8061
חוג'ייראת )ד'הרה(,26
הוזייל )שבט(,2003
עוקבי )בנו עוקבה(,575
אבו עבדון )שבט(,289
אפיניש )שבט(,108
אסד )שבט(,1154
אבו רוקייק )שבט(,10485
טובא-זנגריה,6969
אעצם )שבט(,10848
קודייראת א-צאנע)שבט(,2832
אטרש )שבט(,3688
אבו רובייעה )שבט(,8993
אבו ג'ווייעד )שבט(,4715
אבו קורינאת )שבט(,6702
עטאוונה )שבט(,199
תראבין א-צאנע )שבט(,1240
קוואעין )שבט(,1226
זרזיר,8793
ג'נאביב )שבט(,1367
כעביה-טבאש-חג'אג'רה,5996
ח'ואלד )שבט(,82
סואעד )כמאנה( )שבט(,36
ראס עלי,708
חמאם,1713
מנשית זבדה,1423
רומת הייב,2183
ביר אל-מכסור,10316
מבשרת ציון,26262
אור עקיבא,22082
חרוצים,792
שדרות,30083
קרית מלאכי,26401
נצאצרה )שבט(,564
אבו עמאר )שבט(,120
גיזו,218
יעף,278
שתולה,332
אוהד,414
חזון,357
בית חשמונאי,2337
תלמי אליהו,312
קטורה,612
עין חצבה,59
תל שבע,20994
"עין כרם-בי""ס חקלאי",26
נווה זוהר,70
שדה ניצן,500
כסיפה,18204
לקיה,15797
נוף הגליל,51490
מעלות-תרשיחא,25090
אמירים,917
זמרת,681
"בני עי""ש",7536
"דוב""ב",499
אדמית,471
רם-און,990
אביעזר,887
נווה מיכאל,768
גן הדרום,545
בית ברל,52
גבעת שפירא,321
צפרירים,440
מבועים,1310
אבן מנחם,373
מעגלים,1573
תושיה,557
בן שמן )כפר נוער(,267
כרם שלום,241
כרם יבנה )ישיבה(,322
כפר מימון,720
מרכז שפירא,2294
צוקי ים,252
גני הדר,381
פוריה - כפר עבודה,361
פוריה - נווה עובד,1475
אומן,519
חבר,624
יודפת,1019
צור הדסה,10229
שריגים )לי-און(,1088
אביבים,494
יעל,36
אדרת,924
נאות הכיכר,296
אלמגור,437
אילות,355
מעלה גלבוע,759
מי עמי,407
גרופית,397
כפר רוזנואלד )זרעית(,285
שניר,633
ורדון,301
יד השמונה,296
צוחר,603
קרית יערים,6851
יעד,796
כרמיאל,53908
מדרשת בן גוריון,1764
מבוא מודיעים,252
נס עמים,446
אלומה,832
עלומים,523
נטועה,347
צור נתן,319
עזר,815
צופר,503
פארן,541
אשלים,656
כישור,131
מלכישוע,19
מגן שאול,705
סמר,299
אחווה,198
יהל,326
שכניה,891
רהט,68817
בית רימון,919
מורן,477
שילת,790
כפר רות,289
קיסריה,6679
הוואשלה )שבט(,2381
סייד )שבט(,2267
לוטם,807
תובל,416
לפידות,157
מנוף,954
עידן,472
ספיר,553
טללים,587
מורשת,1703
קורנית,923
צביה,344
טל-אל,1346
אלון הגליל,1202
כליל,781
מתת,215
פלך,182
הושעיה,2214
עיר אובות,58
אשחר,1013
מצפה נטופה,1127
בר יוחאי,1213
ערערה-בנגב,18655
ניצנה )קהילת חינוך(,211
מחנה יתיר,265
נאות סמדר,232
כרמים,429
עדי,2017
מודיעין-מכבים-רעות,96192
כמון,816
מכמנים,564
הררית,610
גילון,1275
מנות,521
גיתה,286
לבון,756
הילה,678
חרשים,335
כחל,508
קדרים,293
עמוקה,166
צבעון,286
טפחות,427
גורנות הגליל,220
אבירים,309
צורית,984
"מצפה אבי""ב",1143
שדי אברהם,379
כוכב יאיר,10234
רביד,115
יובלים,1406
יתד,569
רקפת,1111
כלנית,297
לבנים,471
פרי גן,254
יבול,369
שקף,481
קבועה )שבט(,1556
שורשים,602
נירית,1075
תלמי יוסף,369
סופה,235
חולית,198
עין הבשור,1141
דקל,398
נתיב העשרה,1058
קציר,3141
תמרת,1496
סלמה,3627
עראמשה,1618
חריש,16751
אליפז,178
הרדוף,598
עין תמר,208
כורזים,427
אמנון,449
נטף,513
לוטן,238
אשרת,588
חנתון,950
מסד,402
נווה שלום,314
רתמים,681
הר עמשא,209
צוקים,349
כפר ורדים,6193
כרמי יוסף,1917
שומריה,822
שחרות,176
שיטים,5
מיתר,11103
להבים,6883
חלוץ,614
גן נר,2912
אבטליון,502
אשבל,109
באר מילכה,203
נווה חריף,102
ניצני סיני,326
מירב,778
תל תאומים,549
נופית,2789
כרכום,564
שגב-שלום,11229
שני,558
גבעת אלה,2191
זמר,7425
כמהין,240
ג'דיידה-מכר,21187
גבעת אבני,2250
אור הגנוז,614
יאנוח-ג'ת,6844
כסרא-סמיע,9013
כפר חנניה,801
אתגר,33
שעורים,1
חורה,18244
שוהם,21917
אלעד,48683
לפיד,2363
אבשלום,350
פוריה עילית,1286
נווה זיו,870
מתן,3580
אל-עריאן,192
דמיידה,528
מבואות ים,40
בת חפר,5668
עין חוד,305
ח'ואלד,716
הודיות,77
בת הדר,711
ארסוף,187
כפר זוהרים,41
"בסמ""ה",11134
מעלה עירון,15514
יתיר,35
אחוזת ברק,2629
כמאנה,1568
חוסנייה,870
נוף איילון,2416
ראס אל-עין,415
ערב אל נעים,832
אירוס,732
שמשית,2636
כדיתה,196
אל-עזי,160
מרחב עם,573
אבו קרינאת )יישוב(,1146
מכחול,971
גבעות בר,1236
צור יצחק,6526
תראבין א-צאנע)ישוב(,1169
קצר א-סר,2512
ביר הדאג',2759
דריג'את,1031
אום בטין,4161
אל סייד,3419
סעוה,1941
בת חן,547
בני נצרים,817
שלומית,374
אליאב,580
נווה,931
כחלה,437
בני דקלים,1397
נטע,692
מצפה אילן,691
גני טל,919
נצר חזני,523
שלווה במדבר,14
כרמי קטיף,617
אבו תלול,2092
באר גנים,1685
שבי דרום,227
בת חצור,25
חצרות חולדה,1
חצרות יסף,5
"חצרות כ""ח",1
חצר בארותיים,1
מחנה הילה,248
מחנה תל נוף,368
מחנה יהודית,260
מחנה מרים,220
מחנה יפה,392
מחנה יוכבד,263
מחנה טלי,306
ניצן ב',839
תנובות,849
תלמי אלעזר,1014
כנות,74
שדה יצחק,583
יובל,624
כפר בן נון,818
ינון,1212
אורות,601
בן שמן )מושב(,870
גבעולים,472
שדי חמד,1055
רוויה,419
גבעת חיים )איחוד(,1442
אשל הנשיא,149
להב,752
אום אל-קוטוף,1141
ירדנה,414
מדרך עוז,846
מנוחה,648
בית חלקיה,956
חצור הגלילית,10564
עדנים,415
ברקת,1912
קרית יערים)מוסד(,45
עין גדי,625
בחן,1065
מלילות,420
נחלה,746
סגולה,648
ניר משה,579
ניר עקיבא,707
שדה צבי,688
"תלמי ביל""ו",528
רווחה,599
אביטל,584
פרזון,416
מיטב,527
מאור,1454
שדי תרומות,513
"פעמי תש""ז",586
ברוש,576
תדהר,671
תאשור,406
דישון,372
זרועה,505
טירת כרמל,25977
דימונה,39865
קרית טבעון,18265
אור יהודה,37421
נשר,25216
באר יעקב,27802
גדרה,26893
ערד,31456
אילת,67607
בית שמש,137178
קרית אונו,41794
קרית גת,63642
ראש העין,65934
רמת השרון,51927
יבנה,50661
אום אל-פחם,57093
טירה,27398
טייבה,45075
זבארגה )שבט(,18
קרית שמונה,24260
ירושלים,1019223
חברון,568
כפר עציון,893
נתיב הגדוד,232
אלמוג,316
קדומים,4794
תומר,350
אלקנה,3963
מגדל עוז,413
תקוע,4414
כוכב השחר,2599
רימונים,761
יפית,258
סלעית,1449
ריחן,370
מבוא דותן,546
אריאל,20541
שבי שומרון,1092
כפר תפוח,1403
נוה צוף,1251
בית אל,5880
בית חורון,1496
מצפה יריחו,2548
שדמות מחולה,769
אלון מורה,1906
ארגמן,162
מחולה,649
קליה,454
ראש צורים,1029
הר גילה,1658
אלון שבות,3506
משואה,240
גלגל,197
"ייט""ב",431
מעלה אפרים,1662
חמרה,192
מצפה שלם,230
קרית ארבע,8060
בקעות,223
גיתית,555
מכורה,197
פצאל,365
מעלה אדומים,41080
עופרה,3248
אלעזר,2620
רועי,169
נערן,113
מעלה שומרון,972
כפר אדומים,4636
ורד יריחו,401
קרני שומרון,9136
שילה,4632
חיננית,1598
גבעון החדשה,1281
בית הערבה,365
חמדת,274
יקיר,2492
מתתיהו,919
שקד,1004
אפרת,12538
מעלה מכמש,1823
בית אריה,5518
מעלה עמוס,853
ברקן,2076
"ניל""י",1917
כרמל,520
מעון,626
עטרת,688
פסגות,2143
עמנואל,4558
מבוא חורון,2614
ברכה,2854
ענב,997
"נעמ""ה",195
עלמון,1549
חרמש,277
תלם,469
שערי תקווה,6003
אשכולות,594
פני חבר,530
נגוהות,395
נווה דניאל,2646
נוקדים,2318
עלי זהב,4093
גבעת זאב,20225
טנא,992
ברוכין,1341
מצדות יהודה,615
קרית נטפים,917
דולב,1565
עתניאל,888
יצהר,1830
אלפי מנשה,8587
מגדלים,497
מעלה לבונה,771
אספר,936
סוסיה,1367
אדורה,486
אורנית,9692
איתמר,1275
גבע בנימין,5804
חגי,734
עלי,4359
כרמי צור,1149
נחליאל,765
פדואל,2223
הר אדר,4413
חשמונאים,3210
סנסנה,610
עץ אפרים,2569
כוכב יעקב,9415
ביתר עילית,63904
קדר,1569
רותם,243
שמעה,849
משכיות,274
אבנת,215
נעלה,2138
טלמון,5061
נופים,990
צופים,2510
אבני חפץ,2089
בת עין,1689
רבבה,2939
כפר האורנים,2453
מודיעין עילית,79341
רחלים,869
גני מודיעין,3474
עמיחי,227
מבואות יריחו,14
חיפה,324604
בוקעאתא,6744
אלי-עד,484
אל-רום,486
כפר חרוב,548
חספין,1507
קשת,819
יונתן,721
מעלה גמלא,617
שעל,357
אודם,185
אבני איתן,795
אניעם,589
אורטל,373
נטור,528
בני יהודה,1299
אלוני הבשן,431
מיצר,233
גבעת יואב,736
גשור,321
קלע,348
קדמת צבי,608
חד-נס,905
כנף,490
נמרוד,18
קצרין,8547
מרום גולן,826
מג'דל שמס,11535
מסעדה,4143
מבוא חמה,601
אפיק,396
"נווה אטי""ב",209
נוב,982
ע'ג'ר,2738
עין קנייא,2431
עין זיוון,440
נאות גולן,664
רמת מגשימים,766
רמות,657
תל אביב - יפו,557003
באקה אל-גרביה,30410
בני ברק,213910
בת ים,157598
גבעתיים,63783
הרצליה,110441
חדרה,105730
חולון,213339
טבריה,50033
קרית אתא,63874
כפר סבא,110850
לוד,85359
אשקלון,158968
נס ציונה,49553
נצרת,82474
נתניה,253842
סח'נין,33286
עכו,56804
עפולה,59468
פרדס חנה-כרכור,45272
פתח תקווה,272370
צפת,39252
קרית מוצקין,50600
ראשון לציון,272544
רחובות,155493
רמלה,82012
רמת גן,172717
רעננה,90627
שפרעם,42157
טמרה,34933
באר שבע,221913
נהריה,67997
בית שאן,20574
זכרון יעקב,24867
יהוד,31889
קרית ביאליק,45487
קרית ים,45728
הוד השרון,66549
בנימינה-גבעת עדה,15862
